,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,34S
10,63,171.13919412459563,171.13905166934387,171.13905343141906,23412028.25128448,34.07632609164136,1098055.065104527,125.59281320576711,-1,-0.010296160641749591,0.999919142684413,0.987156275674636,0.9948139958805021,1.0,0.2,2.0,O2,de-protonated,,0.0,,C10 H20 O2,10.0,20.0,2.0,,,,,,,
11,65,172.06978269097735,172.06963952901768,172.06963724778907,12363253.776037581,66.47045402279664,1019944.5932279798,66.28268986600916,-1,0.013257589426228938,0.9999681084201827,0.9995639535743785,0.999806446481861,3.0,0.5,1.5,13C1 O4,de-protonated,,1.0,61.0,C7 H12 O4 13C1,7.0,12.0,4.0,,,,1.0,,,
12,67,172.14254665975724,172.1424034425449,172.1424082664891,2906773.357185783,38.05080998346916,996100.87225039,15.661207267426047,-1,-0.02802298549205949,0.9998575207267114,0.987156275674636,0.9947770227058812,1.0,0.2,2.0,13C1 O2,de-protonated,,1.0,63.0,C9 H20 O2 13C1,9.0,20.0,2.0,,,,1.0,,,
13,69,173.08208507502707,173.08194114445973,173.08193247717907,21980163.360021833,94.10306899133916,960274.951073885,116.8446241479861,-1,0.050076172269100105,0.4997725492973171,0.9203646850869849,0.6680094036131843,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,,,,
14,70,173.11847010433667,173.1183261461464,173.11831798652906,12169916.643459575,41.959072888290805,970240.716653212,64.05233473494123,-1,0.04713318277375799,0.9995969862764231,0.0,0.5997581917658539,1.0,0.3333333333333333,2.0,O3,de-protonated,,0.0,,C9 H18 O3,9.0,18.0,3.0,,,,,,,
15,88,175.06133686869242,175.06119143581247,175.06119703228907,7412788.51971344,42.8187142753387,1018468.2297516027,39.02038782703316,-1,-0.031968686908213646,0.999814577190279,0.0,0.5998887463141673,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,,,
16,89,175.0977236289758,175.09757816848298,175.0975825416391,4813117.706872986,26.702518235578474,1023405.681645208,25.95223907363998,-1,-0.024975536799910276,0.9998868228082652,0.0,0.5999320936849591,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,,,
17,92,176.05658959272316,176.0564434046498,176.0564460044891,4234378.922798445,57.23491488169846,1140968.353248864,23.007304143297855,-1,-0.014767078118456844,0.9999604328853979,0.0,0.5999762597312387,2.0,0.8333333333333334,1.8333333333333333,N1 O5,de-protonated,,0.0,,C6 H11 O5 N1,6.0,11.0,5.0,1.0,,,,,,
18,99,177.07700321420137,177.07685625200514,177.07684709674908,1845242.5857181514,37.512678816852215,1122260.9781861114,9.90126100660983,-1,0.05170216330511611,0.9995150846419846,0.0,0.5997090507851908,1.0,0.7142857142857143,2.0,O5,de-protonated,,0.0,,C7 H14 O5,7.0,14.0,5.0,,,,,,,
19,109,181.08718789733993,181.08703789446537,181.08701785760908,2076261.1493264479,32.01821253726821,1140799.595392758,10.989371155504623,-1,0.11064766829465938,0.9977810063137342,0.0,0.5986686037882405,4.0,0.3,1.4,O3,de-protonated,,0.0,,C10 H14 O3,10.0,14.0,3.0,,,,,,,
20,110,181.15994399388848,181.15979393587085,181.15978887630908,3688458.843051675,42.89993913463063,1022042.8566227562,19.488539980205243,-1,0.027928724158915383,0.9998584775662054,0.0,0.5999150865397233,2.0,0.08333333333333333,1.8333333333333333,O1,de-protonated,,0.0,,C12 H22 O1,12.0,22.0,1.0,,,,,,,
21,112,183.066430361519,183.06627885884208,183.0662824127191,2388368.0833758926,47.238044952892764,1138159.6981325955,12.73792627039526,-1,-0.01941306154771339,0.9999316203234344,0.0,0.5999589721940606,4.0,0.4444444444444444,1.3333333333333333,O4,de-protonated,,0.0,,C9 H12 O4,9.0,12.0,4.0,,,,,,,
