,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
11577,15171,767.1473351271896,767.146435043636,767.146502350869,4018065.3145599803,116.09822536908639,299002.7502963097,21.220981623405496,-1,-0.08773713084340112,0.9992938484645097,0.9258981563619846,0.9699355716234996,21.0,0.5277777777777778,0.8888888888888888,O19,de-protonated,,0.0,,C36 H32 O19,36.0,32.0,19.0,,,,,,,,
11578,15172,767.1686978518381,767.1677977391067,767.1676317189291,2044053.3904786853,119.14337590203795,281191.8778277824,11.008481185135128,-1,0.21640665060171546,0.9915384267857673,0.0,0.5949230560714603,16.0,0.6363636363636364,1.0909090909090908,O21,de-protonated,,0.0,,C33 H36 O21,33.0,36.0,21.0,,,,,,,,
11579,15172,767.1686978518381,767.1677977391067,767.167988034549,2044053.3904786853,119.14337590203795,281191.8778277824,11.008481185135128,-1,-0.24804924768545036,0.9888978363317015,0.0,0.5933387017990208,33.0,0.10638297872340426,0.6808510638297872,N2 S2 O5,de-protonated,,0.0,,C47 H32 O5 N2 S2,47.0,32.0,5.0,2.0,,2.0,,,,,
11580,15173,767.1838791116082,767.1829789781418,767.182887860219,4629318.833433229,70.25470926671731,288655.08406441106,24.454822047532325,-1,0.11876949323134225,0.4987218613766845,0.7141928963326603,0.5849102753590748,20.0,0.4864864864864865,0.972972972972973,O18,de-protonated,,0.0,,C37 H36 O18,37.0,36.0,18.0,,,,,,,,
11581,15174,767.2048081585928,767.2039079965407,767.204017228279,2424211.7503718846,328.2020517903755,293098.37085464917,12.789319466256286,-1,-0.14237638990384827,0.9963286031932617,0.0,0.597797161915957,15.0,0.5882352941176471,1.1764705882352942,O20,de-protonated,,0.0,,C34 H40 O20,34.0,40.0,20.0,,,,,,,,
11582,15175,767.2200947884072,767.219194605476,767.219273369569,3856959.4666752587,337.3003276885551,273912.3101728612,20.688079258979087,-1,-0.10266177578218193,0.49904472991491405,0.7087183895694551,0.5829141937767305,19.0,0.4473684210526316,1.0526315789473684,O17,de-protonated,,0.0,,C38 H40 O17,38.0,40.0,17.0,,,,,,,,
11583,15176,767.2413679881456,767.2404677761584,767.240402737629,2079026.720851965,59.16031868571349,297932.1754688377,10.958901028444823,-1,0.08476942717040939,0.9986969855696509,0.0,0.5992181913417906,14.0,0.5428571428571428,1.2571428571428571,O19,de-protonated,,0.0,,C35 H44 O19,35.0,44.0,19.0,,,,,,,,
11584,15177,767.2565427168304,767.2556424841168,767.255658878919,2664818.9642769494,135.07286660116836,319747.31024156447,14.136078416354161,-1,-0.021368108509738932,0.9999171546763683,0.0,0.599950292805821,18.0,0.41025641025641024,1.1282051282051282,O16,de-protonated,,0.0,,C39 H44 O16,39.0,44.0,16.0,,,,,,,,
11585,15178,767.2775424768452,767.2766422154488,767.276788246979,1708255.114060381,53.04585289292314,276576.258866394,9.190204826513128,-1,-0.19032444674199375,0.9934488654226605,0.0,0.5960693192535963,13.0,0.5,1.3333333333333333,O18,de-protonated,,0.0,,C36 H48 O18,36.0,48.0,18.0,,,,,,,,
11586,15179,767.9974094827176,767.9965082379914,767.996698543019,1727452.3254404194,224.57802094806172,293320.7588181219,9.109594911894195,-1,-0.24779406984393362,0.9889205400852823,0.0,0.5933523240511693,29.0,0.4411764705882353,0.47058823529411764,N3 S1 P1 O15,de-protonated,,0.0,,C34 H16 O15 N3 P1 S1,34.0,16.0,15.0,3.0,1.0,1.0,,,,,
11587,15180,768.0780950217123,768.0771936667595,768.077086167239,2226702.3593048505,212.6621902429331,290551.7690443281,11.98962863963919,-1,0.13995928588125792,0.9964519830937525,0.9849236541898884,0.9918406515322068,23.0,0.6176470588235294,0.7058823529411765,13C1 O21,de-protonated,,1.0,15167.0,C33 H24 O21 13C1,33.0,24.0,21.0,,,,1.0,,,,
11588,15181,768.1141937179583,768.1132923136894,768.113471676589,2834251.241223443,527.2882863959569,272170.5804598101,15.351298175232861,-1,-0.23351094110134307,0.9901548660142713,0.9652678505996772,0.9802000598484336,22.0,0.5714285714285714,0.8,13C1 O20,de-protonated,,1.0,15169.0,C34 H28 O20 13C1,34.0,28.0,20.0,,,,1.0,,,,
11589,15181,768.1141937179583,768.1132923136894,768.113249126389,2834251.241223443,527.2882863959569,272170.5804598101,15.351298175232861,-1,0.056225173154648256,0.9994265561757494,0.0,0.5996559337054496,25.0,0.2564102564102564,0.8205128205128205,N1 S2 P1 O10,de-protonated,,0.0,,C39 H32 O10 N1 P1 S2,39.0,32.0,10.0,1.0,1.0,2.0,,,,,
11590,15182,768.1425399687854,768.1416385257911,768.141751323069,2387691.295661164,231.40043727868556,277492.8160031009,12.606850998436864,-1,-0.1468443522290847,0.9960950184618308,0.0,0.5976570110770985,21.0,0.5428571428571428,0.8857142857142857,N1 O19,de-protonated,,0.0,,C35 H31 O19 N1,35.0,31.0,19.0,1.0,,,,,,,
11591,15183,768.1507659700594,768.1498645158271,768.149857185939,2205214.1328784456,195.29686532352235,281292.9633248322,11.96838000105763,-1,0.009542263097013132,0.9999834783653608,0.9258981563619846,0.9703493495640103,21.0,0.5277777777777778,0.8888888888888888,13C1 O19,de-protonated,,1.0,15171.0,C35 H32 O19 13C1,35.0,32.0,19.0,,,,1.0,,,,
11592,15185,768.2156109094183,768.2147093665963,768.2145223417691,2191897.333310753,249.11514509941114,238051.93613769492,11.823686890716537,-1,0.2434539073428347,0.9893031938589815,0.0,0.5935819163153888,19.0,0.4594594594594595,1.054054054054054,N1 O17,de-protonated,,0.0,,C37 H39 O17 N1,37.0,39.0,17.0,1.0,,,,,,,
11593,15185,768.2156109094183,768.2147093665963,768.214878657389,2191897.333310753,249.11514509941114,238051.93613769492,11.823686890716537,-1,-0.2203690627092919,0.9912271022761828,0.0,0.5947362613657097,36.0,0.0196078431372549,0.6862745098039216,N3 S2 O1,de-protonated,,0.0,,C51 H35 O1 N3 S2,51.0,35.0,1.0,3.0,,2.0,,,,,
11594,15186,768.2959924080218,768.2950907553824,768.2951766731389,2395259.471882436,350.18579892785976,253746.25039647997,12.852390822045994,-1,-0.11182909794703255,0.9977334211865098,0.0,0.5986400527119058,20.0,0.11363636363636363,1.1818181818181819,N1 S2 P1 O5,de-protonated,,0.0,,C44 H52 O5 N1 P1 S2,44.0,52.0,5.0,1.0,1.0,2.0,,,,,
11595,15187,769.053785228394,769.0528825403474,769.052995887279,3355225.7349439,112.39911594949388,282778.686834349,17.689660259136836,-1,-0.14738507268607223,0.996066263868405,0.0,0.597639758321043,23.0,0.6666666666666666,0.6666666666666666,O22,de-protonated,,0.0,,C33 H22 O22,33.0,22.0,22.0,,,,,,,,
11596,15188,769.0901823207633,769.0892795829807,769.0893813966289,6725357.071886451,197.87745423678038,282141.75466187246,36.40600076973822,-1,-0.13238207511360015,0.4984125798820553,0.7311359101322888,0.5915019119821487,22.0,0.6176470588235294,0.7647058823529411,O21,de-protonated,,0.0,,C34 H26 O21,34.0,26.0,21.0,,,,,,,,
11597,15189,769.12682299533,769.1259202074781,769.125766905979,7443543.764215939,78.39243405078292,271924.00023912074,39.7019007097223,-1,0.19931915641927295,0.49640865173093485,0.7253996187124199,0.5880050385235289,21.0,0.5714285714285714,0.8571428571428571,O20,de-protonated,,0.0,,C35 H30 O20,35.0,30.0,20.0,,,,,,,,
