,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,34S
476,1127,325.2023659604078,325.2020280721429,325.2020476124291,1811321.6793485046,75.49500973221716,563138.8695969309,9.71486292706283,-1,-0.0600866025677684,0.9993451122304179,0.0,0.5996070673382508,4.0,0.2777777777777778,1.6666666666666667,O5,de-protonated,,0.0,,C18 H30 O5,18.0,30.0,5.0,,,,,
477,1131,326.0601919294877,326.05985316681625,326.05986041009913,2225110.566815787,168.5534722147738,615192.0365795249,12.127112789460636,-1,-0.022214580080613652,0.999910461337872,0.9843392773118137,0.9936819877274486,8.0,0.6428571428571429,1.0,13C1 O9,de-protonated,,1.0,1115.0,C13 H14 O9 13C1,13.0,14.0,9.0,,,,1.0,
478,1132,326.096581764507,326.0962429647423,326.0962459194491,3860391.2094054185,111.46216147892486,678955.5170945987,20.70857504169947,-1,-0.009060842605049073,0.9999851033790801,0.9887842616365835,0.9955047666820814,7.0,0.5333333333333333,1.2,13C1 O8,de-protonated,,1.0,1117.0,C14 H18 O8 13C1,14.0,18.0,8.0,,,,1.0,
479,1133,326.13296680323555,326.1326279663826,326.13263142879913,2376336.7806326384,85.4394330060827,669551.7271468953,13.15622962495458,-1,-0.010616590337891304,0.9999795487665393,0.9907362023577647,0.9962822102030294,6.0,0.4375,1.375,13C1 O7,de-protonated,,1.0,1121.0,C15 H22 O7 13C1,15.0,22.0,7.0,,,,1.0,
480,1134,326.18797863711796,326.1876397441899,326.1876443827591,4973474.540413372,126.3521580036883,652878.9465245794,26.811923954068888,-1,-0.014220554693100563,0.9999633073621557,0.9908028161951843,0.996299110895367,4.0,0.16666666666666666,1.6666666666666667,13C1 S1 O3,de-protonated,,1.0,1126.0,C17 H30 O3 S1 13C1,17.0,30.0,3.0,,,1.0,1.0,
481,1140,327.01505396927206,327.01471423328235,327.01464076207907,1579223.9720784025,95.96444014269593,722420.7289656095,8.490899970715367,-1,0.2246725195797893,0.9908826971692264,0.0,0.5945296183015358,13.0,0.5,0.5,O8,de-protonated,,0.0,,C16 H8 O8,16.0,8.0,8.0,,,,,
482,1141,327.03611818720736,327.0357784297463,327.03577013013904,5230811.940099472,114.29549080743638,663872.3812325342,28.315806689670705,-1,0.02537828585518209,0.9998831434603979,0.0,0.5999298860762386,8.0,0.7692307692307693,0.9230769230769231,O10,de-protonated,,0.0,,C13 H12 O10,13.0,12.0,10.0,,,,,
483,1142,327.0514212744,327.0510815013401,327.05102627142907,1793967.4980420747,117.05282470177963,597082.9168906221,9.636650047565292,-1,0.16887245900571685,0.9948388280174743,0.0,0.5969032968104845,12.0,0.4117647058823529,0.7058823529411765,O7,de-protonated,,0.0,,C17 H12 O7,17.0,12.0,7.0,,,,,
484,1143,327.072493645402,327.0721538508624,327.0721556394891,14430440.566313928,156.55724224031962,651266.8278545165,79.36549035329296,-1,-0.005468599781103107,0.9996426422312549,0.977445251239052,0.9907636858343738,7.0,0.6428571428571429,1.1428571428571428,O9,de-protonated,,0.0,,C14 H16 O9,14.0,16.0,9.0,,,,,
485,1144,327.08772041830764,327.087380608247,327.08741178077906,1554712.9869340984,102.68349992766156,678515.953937876,8.38112750826268,-1,-0.09530336835687483,0.998353307495153,0.0,0.5990119844970918,11.0,0.3333333333333333,0.8888888888888888,O6,de-protonated,,0.0,,C18 H16 O6,18.0,16.0,6.0,,,,,
